Iteration	L1	L1 %	L2	L2 %	KL Divergence
610	163.215	15.802	58.002	10.741	0.054
611	157.613	15.308	54.398	10.05	0.053
612	158.563	15.398	56.749	10.491	0.053
613	160.183	15.268	56.092	9.944	0.051
614	159.577	15.469	57.051	10.429	0.051
615	158.409	15.403	55.425	10.298	0.053
616	158.119	15.226	55.038	10.078	0.051
617	167.792	16.091	60.18	10.814	0.055
618	160.172	15.506	55.254	10.213	0.054
619	155.752	15.136	53.383	9.923	0.051
620	162.441	15.993	58.453	10.936	0.054
621	159.058	15.259	56.341	10.016	0.052
622	159.522	15.326	55.749	10.039	0.052
623	158.368	15.446	55.357	10.254	0.052
624	156.931	15.03	55.526	9.987	0.05
625	163.814	15.923	58.445	10.771	0.053
626	156.275	15.219	54.632	10.157	0.054
627	160.353	15.646	56.82	10.543	0.053
628	161.425	15.687	57.309	10.508	0.053
